,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
0,Power Forwards & Futures (Data),,,,,,,,,,,
1,Source: OTC Global Holdings,,,,,,,,,,,
2,Region: ERCOT,,,,,,,,,,,
3,Forward Term: Monthly,,,,,,,,,,,
4,Peak: On Peak,,,,,,,,,,,
5,As Of: 08/07/2016,,,,,,,,,,,
6,As Of : 8/5/2016,,,,,,,,,,,
7,Term,AEN,CPS,DC_E,DC_N,DC_R,Houston Zone,LCRA,North Zone,OKLA,South Zone,West Zone
8,Aug 2016,33.13,33,31.81,29.73,34.9,64.03,32.34,61.49,30.82,62.96,62.91
9,Sep 2016,55.14,54.84,53.37,53.05,56.15,34.63,55.18,31.44,52.24,32.61,31.61
10,Oct 2016,34.07,33.39,32.12,31.87,34.72,30.47,34.1,27.52,30.95,29.05,27.3
11,Nov 2016,30.07,29.39,28.12,27.86,30.77,29.55,30.07,27.67,26.95,28.71,27.23
12,Dec 2016,30.25,29.7,28.43,28.23,31.15,28.54,30.23,28.45,27.24,29.35,28.13
13,Jan 2017,30.89,30.4,29.13,28.89,31.91,32.59,30.9,32.45,27.93,33.49,31.82
14,Feb 2017,35.25,34.81,33.56,33.3,36.37,32.46,35.32,32.33,27.92,33.36,31.7
15,Mar 2017,35.15,34.83,33.57,33.31,36.4,34.71,35.27,31.61,29.04,32.5,29.97
16,Apr 2017,34.25,34.18,32.92,32.64,35.88,35.37,34.13,31.74,30.57,33.29,30.19
17,May 2017,33.92,33.96,32.74,32.34,35.47,33.08,33.81,29.23,30.69,30.85,28.36
18,Jun 2017,31.87,31.93,30.72,30.24,33.45,39.19,31.68,35.51,27.96,37.52,35.39
19,Jul 2017,37.32,37.41,36.21,35.62,39.16,51.17,37.03,48.26,34.92,49.51,48.56
20,Aug 2017,51.42,51.52,50.33,49.73,53.86,79.59,51.06,77.49,49.04,78.91,77.83
21,Sep 2017,56.54,72.57,54.72,54.39,57.57,36.65,56.58,33.49,70.08,34.71,33.33
22,Oct 2017,34.68,36,32.68,32.44,35.34,33.48,34.71,29.89,32.8,31.43,28.59
23,Nov 2017,29.48,32.13,27.58,27.31,30.17,31.2,29.48,29.05,28.97,30.15,27.73
24,Dec 2017,28.48,31.11,26.76,26.57,29.33,29.64,28.45,28.9,28.14,29.72,27.53
25,Jan 2018,31.62,30.92,29.82,29.57,32.66,32.6,31.63,33.04,28.22,33.88,32.73
26,Feb 2018,35.8,34.98,34.07,33.82,36.93,32.12,35.87,32.55,32.48,33.38,32.25
27,Mar 2018,35.22,34.77,33.64,33.38,36.48,33.39,35.35,30.91,32.29,32.07,29.61
28,Apr 2018,32.71,34.02,31.45,31.17,34.28,33.33,32.6,30.41,31.53,31.64,29.23
29,May 2018,32.27,33.14,31.15,30.77,33.76,30.07,32.16,26.9,30.64,27.81,26.37
30,Jun 2018,30.27,30.75,29.17,28.7,31.77,36.03,30.09,33.04,28.26,34.55,33.21
31,Jul 2018,35.45,36.08,34.4,33.84,37.2,50.83,35.18,48.58,34.16,49.82,49.16
32,Aug 2018,48.82,51.59,47.78,47.22,51.13,77.14,48.47,75.67,49.64,77.05,76.27
33,Sep 2018,53.64,72.17,51.91,51.61,54.62,34.55,53.68,31.33,70.15,33.18,31.48
34,Oct 2018,33,33.85,31.1,30.88,33.64,30.9,33.03,28.67,31.58,30.32,27.74
35,Nov 2018,28.21,31.07,26.39,26.13,28.88,28.53,28.21,27.58,28.78,28.91,26.64
36,Dec 2018,27.44,29.81,25.79,25.6,28.26,26.88,27.42,27.12,27.49,27.74,26.13
37,Jan 2019,31.21,30.45,29.43,29.19,32.24,31.98,31.22,32.56,28.15,32.24,31.95
38,Feb 2019,35.35,34.7,33.65,33.4,36.47,31.66,35.42,32.24,32.45,31.92,31.63
39,Mar 2019,35.05,34.61,33.48,33.22,36.3,32.04,35.18,30.31,32.39,30.31,28.75
40,Apr 2019,33.7,33.46,32.4,32.12,35.31,31.75,33.59,29.34,31.33,29.34,27.9
41,May 2019,33.57,32.89,32.4,32.01,35.12,29.49,33.46,27.41,30.83,27.41,26.59
42,Jun 2019,31.54,30.25,30.39,29.91,33.09,36.53,31.35,33.56,28.23,33.99,33.45
43,Jul 2019,37,36.49,35.91,35.33,38.84,50.74,36.72,49.53,34.73,49.96,49.82
44,Aug 2019,51.06,64.92,49.96,49.38,53.47,85.27,50.7,84.03,63.24,84.47,84.35
45,Sep 2019,56.17,85.1,54.38,54.05,57.21,34.84,56.22,31.94,83.43,32.37,31.79
46,Oct 2019,34.49,34.01,32.51,32.27,35.16,31.38,34.52,29.19,32.26,29.92,27.96
47,Nov 2019,29.53,30.22,27.63,27.36,30.22,28.94,29.53,27.98,28.55,27.98,26.73
48,Dec 2019,28.71,29.05,26.98,26.79,29.57,27.13,28.69,27.33,27.61,26.86,26.02
49,Jan 2020,31.89,30.2,30.08,29.82,32.93,32.51,31.9,33.1,28.75,32.77,32.38
50,Feb 2020,36.13,34.64,34.39,34.14,37.29,32.21,36.21,32.79,33.16,32.47,32.08
51,Mar 2020,35.78,34.42,34.17,33.92,37.07,32.9,35.92,30.66,32.99,30.66,29.17
52,Apr 2020,34.48,34.53,33.15,32.86,36.13,32.28,34.37,29.82,33.07,29.82,28.61
53,May 2020,34.37,32.58,33.17,32.78,35.96,30.28,34.26,27.83,31.06,27.83,26.77
54,Jun 2020,32.29,31.6,31.12,30.63,33.89,37.03,32.1,34.47,29.96,34.91,34.12
55,Jul 2020,37.89,37.45,36.78,36.19,39.77,53.31,37.61,52.19,36,52.63,52.72
56,Aug 2020,52.54,66.82,51.43,50.82,55.03,88.38,52.18,87.04,65.09,87.48,87.57
57,Sep 2020,58.12,88.04,56.25,55.91,59.18,35.39,58.16,32.84,86.3,33.28,32.48
58,Oct 2020,35.79,35.29,33.73,33.48,36.48,32.34,35.82,29.92,33.48,30.67,28.21
59,Nov 2020,30.64,31.36,28.67,28.39,31.36,30.43,30.65,28.65,29.63,28.65,26.9
60,Dec 2020,29.77,30.12,27.98,27.78,30.66,27.56,29.75,27.77,28.62,27.29,25.77
61,Jan 2021,32.35,30.63,30.51,30.25,33.41,33.55,32.36,33.89,29.16,33.55,33.89
62,Feb 2021,36.68,35.16,34.92,34.66,37.85,33.26,36.76,33.59,33.67,33.26,33.59
63,Mar 2021,36.36,34.98,34.73,34.47,37.67,33.83,36.5,31.24,33.52,31.24,30.43
64,Apr 2021,35.18,35.22,33.81,33.52,36.86,33.42,35.06,30.62,33.73,30.62,30.02
65,May 2021,35.09,33.26,33.87,33.46,36.71,31.34,34.97,28.56,31.71,28.56,28.11
66,Jun 2021,32.95,32.25,31.76,31.25,34.58,38.38,32.76,35.48,30.57,35.93,35.78
67,Jul 2021,38.66,38.2,37.51,36.91,40.58,54.03,38.37,52.62,36.72,53.08,53.85
68,Aug 2021,53.67,68.26,52.53,51.92,56.22,90.65,53.3,89,66.49,89.47,90.25
69,Sep 2021,59.41,89.99,57.5,57.15,60.5,36.74,59.45,33.81,88.22,34.28,34.13
70,Oct 2021,36.64,36.13,34.53,34.28,37.35,33.38,36.67,30.6,34.28,31.38,29.5
71,Nov 2021,31.41,32.16,29.39,29.1,32.16,31.44,31.41,29.32,30.37,29.32,28.19
72,Dec 2021,30.51,30.87,28.67,28.47,31.42,28.28,30.49,28.23,29.34,27.72,26.88
73,Jan 2022,33.84,32.04,31.91,31.64,34.95,35.09,33.85,35.44,30.5,35.09,35.44
74,Feb 2022,38.45,36.86,36.6,36.33,39.68,34.87,38.53,35.22,35.3,34.87,35.22
75,Mar 2022,38.19,36.74,36.48,36.2,39.56,35.54,38.34,32.83,35.21,32.83,31.97
76,Apr 2022,37.14,37.2,35.71,35.4,38.92,35.3,37.02,32.35,35.62,32.34,31.71
77,May 2022,37.06,35.13,35.77,35.34,38.76,33.11,36.94,30.17,33.49,30.17,29.69
78,Jun 2022,34.78,34.04,33.53,32.99,36.5,40.52,34.58,37.46,32.28,37.93,37.78
79,Jul 2022,40.79,40.3,39.57,38.94,42.8,57.02,40.48,55.54,38.74,56.02,56.83
80,Aug 2022,56.64,72.02,55.43,54.78,59.32,95.67,56.24,93.94,70.16,94.43,95.25
81,Sep 2022,62.71,95,60.7,60.33,63.86,38.79,62.76,35.71,93.13,36.2,36.04
82,Oct 2022,38.71,38.17,36.48,36.22,39.45,35.27,38.74,32.33,36.21,33.16,31.17
83,Nov 2022,33.13,33.91,31,30.7,33.91,33.18,33.13,30.94,32.03,30.94,29.75
84,Dec 2022,32.14,32.52,30.21,29.99,33.1,29.8,32.12,29.75,30.91,29.21,28.33
85,Jan 2023,35.59,33.7,33.57,33.28,36.76,36.91,35.6,37.28,32.09,36.91,37.28
86,Feb 2023,40.47,38.8,38.53,38.24,41.76,36.7,40.55,37.07,37.15,36.7,37.06
87,Mar 2023,40.23,38.69,38.42,38.13,41.66,37.42,40.37,34.57,37.09,34.57,33.66
88,Apr 2023,39.28,39.33,37.76,37.43,41.15,37.32,39.14,34.2,37.67,34.2,33.53
89,May 2023,39.19,37.15,37.82,37.37,40.99,35.01,39.06,31.9,35.42,31.9,31.4
90,Jun 2023,36.76,35.98,35.43,34.87,38.58,42.83,36.55,39.59,34.11,40.09,39.92
91,Jul 2023,43.08,42.57,41.8,41.13,45.21,60.23,42.75,58.66,40.92,59.17,60.02
92,Aug 2023,59.78,76.03,58.51,57.82,62.62,100.99,59.36,99.16,74.06,99.68,100.54
93,Sep 2023,66.27,100.39,64.14,63.75,67.48,40.99,66.32,37.74,98.42,38.25,38.08
94,Oct 2023,40.94,40.36,38.59,38.3,41.72,37.3,40.97,34.19,38.3,35.07,32.96
95,Nov 2023,34.99,35.82,32.74,32.42,35.82,35.04,34.99,32.68,33.83,32.68,31.42
96,Dec 2023,33.83,34.23,31.8,31.57,34.84,31.37,33.81,31.31,32.53,30.75,29.82
97,Jan 2024,37.36,35.38,35.23,34.94,38.58,38.75,37.37,39.13,33.68,38.75,39.13
98,Feb 2024,42.5,40.74,40.45,40.15,43.85,38.53,42.58,38.92,39.01,38.53,38.92
99,Mar 2024,42.23,40.62,40.33,40.03,43.74,39.29,42.38,36.29,38.93,36.29,35.34
100,Apr 2024,41.4,41.46,39.8,39.45,43.38,39.35,41.26,36.06,39.7,36.05,35.35
101,May 2024,41.25,39.11,39.82,39.34,43.15,36.86,41.12,33.59,37.28,33.58,33.06
102,Jun 2024,38.68,37.85,37.28,36.69,40.6,45.07,38.45,41.66,35.89,42.19,42.01
103,Jul 2024,45.4,44.86,44.04,43.34,47.65,63.47,45.05,61.81,43.12,62.35,63.25
104,Aug 2024,62.97,80.07,61.62,60.9,65.95,106.37,62.52,104.44,78,104.99,105.9
105,Sep 2024,69.83,105.79,67.59,67.18,71.11,43.19,69.89,39.76,103.7,40.31,40.13
106,Oct 2024,43.16,42.56,40.68,40.38,43.99,39.33,43.19,36.05,40.37,36.97,34.76
107,Nov 2024,36.88,37.76,34.5,34.17,37.75,36.93,36.88,34.43,35.66,34.43,33.11
108,Dec 2024,35.57,35.98,33.43,33.19,36.62,32.97,35.54,32.91,34.2,32.32,31.34
109,Jan 2025,39.15,37.08,36.92,36.62,40.44,40.6,39.16,41.01,35.29,40.6,41.01
110,Feb 2025,44.53,42.69,42.39,42.07,45.96,40.39,44.62,40.79,40.88,40.39,40.79
111,Mar 2025,44.29,42.6,42.3,41.98,45.87,41.21,44.45,38.07,40.83,38.06,37.07
112,Apr 2025,43.44,43.5,41.76,41.4,45.52,41.28,43.29,37.83,41.66,37.83,37.09
113,May 2025,43.24,40.99,41.74,41.23,45.23,38.64,43.1,35.2,39.08,35.2,34.65
114,Jun 2025,40.54,39.67,39.07,38.45,42.55,47.24,40.3,43.66,37.61,44.22,44.03
115,Jul 2025,47.51,46.95,46.1,45.36,49.87,66.43,47.15,64.7,45.13,65.26,66.2
116,Aug 2025,65.91,83.81,64.5,63.75,69.04,111.34,65.45,109.32,81.64,109.89,110.84
117,Sep 2025,73.12,110.77,70.77,70.35,74.46,45.23,73.18,41.64,108.59,42.21,42.02
118,Oct 2025,45.23,44.59,42.62,42.31,46.09,41.21,45.26,37.78,42.31,38.74,36.42
119,Nov 2025,38.65,39.57,36.17,35.81,39.57,38.7,38.66,36.09,37.37,36.09,34.7
120,Dec 2025,37.29,37.72,35.04,34.79,38.39,34.56,37.26,34.5,35.85,33.88,32.85
121,Jan 2026,40.98,38.81,38.65,38.32,42.32,42.49,40.99,42.92,36.94,42.49,42.92
122,Feb 2026,46.66,44.73,44.41,44.08,48.15,42.31,46.75,42.74,42.83,42.31,42.73
123,Mar 2026,46.4,44.63,44.31,43.98,48.06,43.17,46.57,39.88,42.78,39.88,38.84
124,Apr 2026,45.31,45.38,43.56,43.18,47.48,43.06,45.16,39.46,43.46,39.46,38.69
125,May 2026,45.1,42.76,43.53,43.01,47.18,40.3,44.96,36.72,40.76,36.72,36.14
126,Jun 2026,42.29,41.39,40.76,40.11,44.39,49.28,42.04,45.55,39.24,46.13,45.93
127,Jul 2026,49.58,48.99,48.1,47.34,52.04,69.32,49.21,67.51,47.09,68.1,69.08
