,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,Power Forwards & Futures (Data),,,,
1,Source: OTC Global Holdings,,,,
2,Region: ERCOT,,,,
3,Forward Term: Monthly,,,,
4,Peak: On Peak,,,,
5,As Of: 10/02/2014,,,,
6,As Of : 10/2/2014,,,,
7,Term,Houston Zone,North Zone,South Zone,West Zone
8,Oct 2014,43.25,39.95,41.3,39.52
9,Nov 2014,38.16,36.41,37.63,35.73
10,Dec 2014,36.77,36.64,37.65,35.95
11,Jan 2015,41.21,41.53,41.58,40.67
12,Feb 2015,41.15,41.46,41.51,40.63
13,Mar 2015,43.99,40.67,42.12,37.28
14,Apr 2015,43.01,39.73,41.11,38.63
15,May 2015,41.19,37.16,38.75,36.35
16,Jun 2015,49.01,46.41,47.59,46.62
17,Jul 2015,60.47,60.23,60.58,61.27
18,Aug 2015,78.36,78.04,78.27,79.25
19,Sep 2015,44.09,41.66,42.31,42.3
20,Oct 2015,38.45,36.59,36.39,34.55
21,Nov 2015,37.86,35.97,35.76,33.91
22,Dec 2015,38.47,36.71,36.49,34.57
23,Jan 2016,41.99,41.68,41.47,40.59
24,Feb 2016,42.18,41.87,41.65,41
25,Mar 2016,44.23,40.7,41.56,38.77
26,Apr 2016,44.77,41.05,42.06,39.04
27,May 2016,42.63,38.29,39.3,36.83
28,Jun 2016,51.47,47.91,48.31,47.3
29,Jul 2016,61.77,59.8,60.2,61.63
30,Aug 2016,85.59,83.77,83.98,85.6
31,Sep 2016,46.59,43.02,43.23,43.23
32,Oct 2016,40.23,37.89,36.3,36.86
33,Nov 2016,38.5,36.34,37.05,35.5
34,Dec 2016,39.9,37.87,38.58,37.01
35,Jan 2017,42.22,43.23,42.87,40.77
36,Feb 2017,42.34,43.33,43.1,41.11
37,Mar 2017,45.42,42.42,43.19,39.75
38,Apr 2017,46.12,42.87,43.55,40.09
39,May 2017,44.82,39.9,40.88,39.75
40,Jun 2017,54.06,50.52,50.43,49.45
41,Jul 2017,68.31,61.95,63.15,67.65
42,Aug 2017,84.6,85.65,88.44,86.12
43,Sep 2017,48.36,44.71,44.75,44.77
44,Oct 2017,39.21,39.14,37.51,35.63
45,Nov 2017,39.9,37.69,38.22,36.68
46,Dec 2017,41.22,39.17,39.72,38.11
47,Jan 2018,42.21,43.42,42.86,38.77
48,Feb 2018,42.34,43.52,43.1,39.11
49,Mar 2018,45.44,42.63,43.21,37.84
50,Apr 2018,45.68,42.68,43.14,37.79
51,May 2018,44.42,39.73,40.52,37.49
52,Jun 2018,53.55,50.31,49.95,46.61
53,Jul 2018,67.58,61.59,62.48,63.66
54,Aug 2018,83.69,85.13,87.48,81.06
55,Sep 2018,47.87,44.47,44.3,42.16
56,Oct 2018,38.84,38.04,37.15,37.06
57,Nov 2018,39.55,36.6,37.88,35.67
58,Dec 2018,40.85,38.1,39.36,37.11
59,Jan 2019,42.72,43.95,43.37,38.9
60,Feb 2019,42.85,44.04,43.62,39.24
61,Mar 2019,46,43.16,43.75,37.97
62,Apr 2019,46.27,43.24,43.69,37.94
63,May 2019,45.01,40.26,41.06,37.66
64,Jun 2019,54.27,50.98,50.62,46.82
65,Jul 2019,68.47,62.4,63.31,63.94
66,Aug 2019,84.89,86.36,88.74,81.51
67,Sep 2019,48.58,45.14,44.96,42.41
68,Oct 2019,39.45,38.64,37.73,37.3
69,Nov 2019,40.21,37.21,38.52,35.95
70,Dec 2019,41.62,38.82,40.11,37.48
71,Jan 2020,42.99,44.23,43.66,38.81
72,Feb 2020,43.14,44.34,43.91,39.15
73,Mar 2020,46.33,43.46,44.05,37.91
74,Apr 2020,46.69,43.62,44.09,37.95
75,May 2020,45.46,40.66,41.47,37.7
76,Jun 2020,54.79,51.47,51.11,46.87
77,Jul 2020,69.14,63.01,63.92,64
78,Aug 2020,85.86,87.34,89.75,81.7
79,Sep 2020,49.14,45.66,45.47,42.52
80,Oct 2020,39.92,39.11,38.19,37.42
81,Nov 2020,40.64,37.62,38.93,36.02
82,Dec 2020,41.97,39.15,40.45,37.47
83,Jan 2021,44.21,43.95,44.9,38.36
84,Feb 2021,44.34,44.02,45.14,38.67
85,Mar 2021,47.55,43.09,45.23,37.4
86,Apr 2021,47.84,43.18,45.19,37.38
87,May 2021,46.56,40.24,42.49,37.13
88,Jun 2021,56.11,50.93,52.36,46.14
89,Jul 2021,70.83,62.38,65.52,63.05
90,Aug 2021,88.14,86.6,92.05,80.53
91,Sep 2021,50.45,45.28,46.69,41.96
