,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,Power Forwards & Futures (Data),,,,
1,Source: OTC Global Holdings,,,,
2,Region: ERCOT,,,,
3,Forward Term: Monthly,,,,
4,Peak: On Peak,,,,
5,As Of: 09/10/2014,,,,
6,As Of : 9/10/2014,,,,
7,Term,Houston Zone,North Zone,South Zone,West Zone
8,Sep 2014,40.94,38.19,38.44,38.76
9,Oct 2014,41.61,38.42,38.46,37.64
10,Nov 2014,39.4,37.76,37.92,36.75
11,Dec 2014,38.13,38.31,38.24,37.28
12,Jan 2015,42.49,43.15,42.32,41.93
13,Feb 2015,42.48,43.14,42.31,41.94
14,Mar 2015,45.91,42.8,43.39,38.95
15,Apr 2015,45.05,42,42.49,40.51
16,May 2015,43.22,39.37,40.07,38.19
17,Jun 2015,51.59,49.22,49.29,49.09
18,Jul 2015,63.08,63.14,62.8,63.88
19,Aug 2015,81.82,81.79,81.44,82.72
20,Sep 2015,46.36,44.16,44.44,44.49
21,Oct 2015,40.42,38.81,38.25,36.34
22,Nov 2015,39.79,38.15,37.55,35.61
23,Dec 2015,40.38,38.83,38.23,36.21
24,Jan 2016,43.72,44.4,43.54,43.14
25,Feb 2016,43.62,44.3,43.44,43.06
26,Mar 2016,47.12,43.94,44.54,39.98
27,Apr 2016,46.37,43.22,43.73,41.69
28,May 2016,44.69,40.71,41.43,39.49
29,Jun 2016,53.39,50.93,51,50.8
30,Jul 2016,65.24,65.31,64.95,66.07
31,Aug 2016,84.6,84.57,84.21,85.53
32,Sep 2016,47.92,45.65,45.94,45.99
33,Oct 2016,41.7,40.04,39.46,37.5
34,Nov 2016,40.91,39.23,38.61,36.62
35,Dec 2016,41.72,40.12,39.5,37.41
36,Jan 2017,45.19,45.9,45.01,44.59
37,Feb 2017,45.09,45.8,44.91,44.52
38,Mar 2017,48.8,45.5,46.12,41.4
39,Apr 2017,47.79,44.54,45.06,42.97
40,May 2017,46.14,42.04,42.78,40.77
41,Jun 2017,55.19,52.66,52.73,52.52
42,Jul 2017,67.58,67.65,67.28,68.44
43,Aug 2017,87.76,87.72,87.35,88.72
44,Sep 2017,49.8,47.44,47.74,47.79
45,Oct 2017,43.28,41.56,40.96,38.92
46,Nov 2017,42.39,40.65,40.01,37.94
47,Dec 2017,43.17,41.52,40.88,38.71
48,Jan 2018,46.75,47.48,46.56,46.13
49,Feb 2018,46.63,47.36,46.45,46.04
50,Mar 2018,50.45,47.04,47.69,42.8
51,Apr 2018,48.65,45.35,45.88,43.75
52,May 2018,47.01,42.83,43.59,41.54
53,Jun 2018,56.19,53.6,53.68,53.46
54,Jul 2018,68.73,68.81,68.43,69.61
55,Aug 2018,89.25,89.21,88.84,90.23
56,Sep 2018,50.67,48.27,48.57,48.63
57,Oct 2018,44.04,42.29,41.68,39.6
58,Nov 2018,43.21,41.44,40.79,38.68
59,Dec 2018,44.05,42.36,41.7,39.5
60,Jan 2019,47.57,48.31,47.38,46.94
61,Feb 2019,47.45,48.2,47.27,46.85
62,Mar 2019,51.37,47.89,48.55,43.58
63,Apr 2019,49.72,46.34,46.89,44.71
64,May 2019,48.05,43.77,44.55,42.46
65,Jun 2019,57.42,54.78,54.86,54.64
66,Jul 2019,70.23,70.3,69.91,71.12
67,Aug 2019,91.19,91.15,90.76,92.18
68,Sep 2019,51.77,49.32,49.63,49.68
69,Oct 2019,45.02,43.24,42.61,40.49
70,Nov 2019,44.28,42.45,41.79,39.63
71,Dec 2019,45.29,43.56,42.88,40.61
72,Jan 2020,48.89,49.66,48.7,48.24
73,Feb 2020,48.78,49.54,48.58,48.16
74,Mar 2020,52.82,49.25,49.92,44.81
75,Apr 2020,51.35,47.86,48.42,46.17
76,May 2020,49.66,45.25,46.05,43.88
77,Jun 2020,59.33,56.6,56.69,56.46
78,Jul 2020,72.55,72.63,72.23,73.48
79,Aug 2020,94.47,94.43,94.03,95.5
80,Sep 2020,53.64,51.09,51.42,51.47
81,Oct 2020,46.7,44.84,44.19,41.99
82,Nov 2020,45.83,43.95,43.26,41.02
83,Dec 2020,46.75,44.96,44.27,41.92
84,Jan 2021,50.19,50.97,49.98,49.51
85,Feb 2021,50.08,50.86,49.87,49.42
86,Mar 2021,54.21,50.55,51.23,45.98
87,Apr 2021,52.81,49.22,49.79,47.47
88,May 2021,51.16,46.61,47.43,45.19
89,Jun 2021,61.11,58.29,58.37,58.13
90,Jul 2021,74.76,74.83,74.41,75.68
91,Aug 2021,97.38,97.33,96.91,98.41
