,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,Power Forwards & Futures (Data),,,,
1,Source: OTC Global Holdings,,,,
2,Region: ERCOT,,,,
3,Forward Term: Monthly,,,,
4,Peak: On Peak,,,,
5,As Of: 06/28/2015,,,,
6,As Of : 6/26/2015,,,,
7,Term,Houston Zone,North Zone,South Zone,West Zone
8,Jun 2015,27.47,26.64,26.8,27.51
9,Jul 2015,36.65,34.75,35.18,35.83
10,Aug 2015,47.7,45.16,45.85,46.43
11,Sep 2015,34.2,31.09,32.55,31.73
12,Oct 2015,32.69,29.47,29.27,29.09
13,Nov 2015,31,28.91,28.7,28.49
14,Dec 2015,29.91,29.13,28.92,28.66
15,Jan 2016,32.49,32.22,32.52,31.13
16,Feb 2016,32.66,32.4,32.71,31.54
17,Mar 2016,33.77,32.62,33.86,30.69
18,Apr 2016,37.93,33.9,35.22,31.88
19,May 2016,35.24,30.63,31.65,29.16
20,Jun 2016,40.43,36.57,36.98,35.98
21,Jul 2016,43.58,40.04,41.77,41.93
22,Aug 2016,60.97,56.35,58.01,58.26
23,Sep 2016,38.04,34.17,34.35,34.39
24,Oct 2016,33.87,31.85,30.43,30.81
25,Nov 2016,32.51,31.5,31.58,30.66
26,Dec 2016,33.76,31.91,32.88,31.04
27,Jan 2017,35.24,35.49,35.42,33.49
28,Feb 2017,35.42,35.65,35.59,33.91
29,Mar 2017,39.81,35.77,37.36,33.59
30,Apr 2017,39.67,35.59,37.13,33.3
31,May 2017,38.12,32.38,34.63,32.81
32,Jun 2017,45.74,41.3,42.42,40.77
33,Jul 2017,49.99,43.19,45.89,49.1
34,Aug 2017,60.47,60.64,58.95,59.56
35,Sep 2017,42.1,37.33,38.52,37.4
36,Oct 2017,34.21,33.49,35.56,29.85
37,Nov 2017,35.35,32.26,33.73,31.24
38,Dec 2017,36.76,33.69,33.79,32.61
39,Jan 2018,37.69,38.5,37.88,35.39
40,Feb 2018,37.74,38.53,37.92,35.69
41,Mar 2018,42.38,38.63,39.77,35.31
42,Apr 2018,41.52,37.78,38.86,34.43
43,May 2018,39.92,34.39,36.27,33.94
44,Jun 2018,47.87,43.82,44.4,42.14
45,Jul 2018,52.27,45.8,47.98,50.71
46,Aug 2018,63.24,64.31,61.64,61.51
47,Sep 2018,44.06,39.6,40.31,38.65
48,Oct 2018,35.8,33.17,37.2,33.76
49,Nov 2018,36.96,31.92,35.26,33.48
50,Dec 2018,38.37,33.46,35.27,33.81
51,Jan 2019,37.99,38.81,38.18,35.62
52,Feb 2019,38.03,38.84,38.21,35.93
53,Mar 2019,42.74,38.95,40.11,35.57
54,Apr 2019,41.98,38.19,39.29,34.76
55,May 2019,40.39,34.79,36.69,34.29
56,Jun 2019,48.41,44.31,44.9,42.56
57,Jul 2019,52.83,46.28,48.49,51.19
58,Aug 2019,64.01,65.1,62.39,62.19
59,Sep 2019,44.6,40.08,40.81,39.07
60,Oct 2019,36.25,33.6,37.68,34.15
61,Nov 2019,37.52,32.4,35.79,33.94
62,Dec 2019,39.15,34.14,35.98,34.46
63,Jan 2020,38.09,38.91,38.28,35.68
64,Feb 2020,38.14,38.94,38.32,35.99
65,Mar 2020,42.87,39.07,40.23,35.63
66,Apr 2020,42.18,38.38,39.48,34.88
67,May 2020,40.56,34.94,36.85,34.39
68,Jun 2020,48.55,44.44,45.02,42.63
69,Jul 2020,52.89,46.34,48.55,51.18
70,Aug 2020,64.22,65.31,62.6,62.3
71,Sep 2020,44.79,40.26,40.99,39.2
72,Oct 2020,36.46,33.78,37.89,34.3
73,Nov 2020,37.7,32.56,35.97,34.07
74,Dec 2020,39.28,34.25,36.11,34.53
75,Jan 2021,38.08,38.9,38.27,35.34
76,Feb 2021,38.11,38.92,38.29,35.63
77,Mar 2021,42.85,39.04,40.21,35.29
78,Apr 2021,42.27,38.45,39.56,34.63
79,May 2021,40.63,35,36.91,34.14
80,Jun 2021,48.62,44.5,45.09,42.3
81,Jul 2021,53.04,46.47,48.69,50.86
82,Aug 2021,64.48,65.57,62.85,61.99
83,Sep 2021,44.99,40.43,41.16,39.01
84,Oct 2021,36.68,33.98,38.12,34.19
85,Nov 2021,37.93,32.76,36.18,33.96
86,Dec 2021,39.49,34.43,36.29,34.38
87,Jan 2022,39.54,38.99,39.63,35.03
88,Feb 2022,39.56,39,39.64,35.32
89,Mar 2022,44.47,39.11,41.61,34.96
90,Apr 2022,43.97,38.62,41.05,34.4
91,May 2022,42.19,35.08,38.23,33.85
