,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,Power Forwards & Futures (Data),,,,
1,Source: OTC Global Holdings,,,,
2,Region: ERCOT,,,,
3,Forward Term: Monthly,,,,
4,Peak: Off Peak,,,,
5,As Of: 01/04/2015,,,,
6,As Of : 1/2/2015,,,,
7,Term,Houston Zone,North Zone,South Zone,West Zone
8,Jan 2015,24.09,23.99,24.09,23.69
9,Feb 2015,22.97,23.33,23.58,23.24
10,Mar 2015,23.67,23.25,23.11,20.73
11,Apr 2015,26.01,23.41,25.36,22.9
12,May 2015,23.48,22.02,22.85,20.99
13,Jun 2015,24.19,23.4,23.79,23.04
14,Jul 2015,27.44,24.89,26.7,26.84
15,Aug 2015,26.85,27.93,26.11,26.26
16,Sep 2015,24.11,23.14,23.38,22.83
17,Oct 2015,23.46,22.23,22.69,21.66
18,Nov 2015,24.06,22.65,23.29,22.25
19,Dec 2015,24.47,24.18,23.76,22.73
20,Jan 2016,27.71,27.48,27.49,26.5
21,Feb 2016,27.79,27.37,27.61,26.59
22,Mar 2016,27.57,26.03,25.88,23.11
23,Apr 2016,28.04,25.46,27.37,23.49
24,May 2016,26.46,24.68,25.49,22.48
25,Jun 2016,27.13,25.9,26.29,24.65
26,Jul 2016,29.72,28.11,29.88,28.99
27,Aug 2016,29.53,29.9,28.12,28.72
28,Sep 2016,26.88,25.32,25.56,24.21
29,Oct 2016,26.3,24.64,25.09,22.75
30,Nov 2016,26.5,24.77,25.4,22.93
31,Dec 2016,26.71,26.08,25.66,23.23
32,Jan 2017,30.64,29.91,30.4,27.95
33,Feb 2017,30.7,29.99,30.5,28.02
34,Mar 2017,30.4,28.07,28.55,24.5
35,Apr 2017,30.89,28.37,30.16,24.8
36,May 2017,29.12,26.68,28.05,23.78
37,Jun 2017,29.84,24.37,28.92,26.53
38,Jul 2017,32.63,32.25,32.81,27.43
39,Aug 2017,32.42,32.28,30.87,33.26
40,Sep 2017,29.55,29.23,28.1,26.06
41,Oct 2017,28.89,28.57,27.56,24.61
42,Nov 2017,29,28.64,27.79,24.7
43,Dec 2017,29.05,28.8,27.91,24.83
44,Jan 2018,31.81,31.06,31.57,29.02
45,Feb 2018,31.77,31.03,31.56,29
46,Mar 2018,31.45,29.04,29.53,25.34
47,Apr 2018,31.51,28.95,30.76,25.29
48,May 2018,29.7,27.2,28.61,24.25
49,Jun 2018,30.4,24.84,29.47,27.05
50,Jul 2018,33.24,32.85,33.42,30.92
51,Aug 2018,33.03,32.88,31.45,30.92
52,Sep 2018,30.14,29.81,28.66,26.59
53,Oct 2018,29.45,29.12,28.1,25.11
54,Nov 2018,29.53,29.16,28.3,25.16
55,Dec 2018,29.54,29.29,28.38,25.26
56,Jan 2019,32.53,31.76,32.28,29.54
57,Feb 2019,32.49,31.74,32.28,29.52
58,Mar 2019,32.19,29.72,30.23,25.81
59,Apr 2019,32.25,29.62,31.48,25.77
60,May 2019,30.41,27.85,29.29,24.71
61,Jun 2019,31.1,25.41,30.14,27.54
62,Jul 2019,33.96,33.57,34.15,31.45
63,Aug 2019,33.78,33.63,32.17,31.47
64,Sep 2019,30.82,30.47,29.3,27.05
65,Oct 2019,30.1,29.75,28.71,25.53
66,Nov 2019,30.17,29.79,28.91,25.58
67,Dec 2019,30.15,29.89,28.96,25.66
68,Jan 2020,31.55,30.81,31.31,27.77
69,Feb 2020,31.5,30.77,31.3,27.74
70,Mar 2020,31.19,28.8,29.28,24.24
71,Apr 2020,31.16,28.63,30.42,24.13
72,May 2020,29.38,26.91,28.3,23.14
73,Jun 2020,30.02,24.53,29.1,25.77
74,Jul 2020,32.75,32.38,32.93,29.39
75,Aug 2020,32.62,32.47,31.06,29.46
76,Sep 2020,29.77,29.45,28.31,25.33
77,Oct 2020,29.11,29.49,27.77,23.93
78,Nov 2020,29.15,28.05,27.94,23.95
79,Dec 2020,29.12,28.87,27.97,24.01
80,Jan 2021,31.16,30.43,30.92,27.97
81,Feb 2021,31.1,30.38,30.9,27.94
82,Mar 2021,30.78,28.42,28.91,24.41
83,Apr 2021,30.63,28.14,29.9,24.19
84,May 2021,28.88,26.44,27.82,23.2
85,Jun 2021,29.54,24.13,28.63,25.87
86,Jul 2021,32.29,31.91,32.47,29.56
87,Aug 2021,32.22,32.07,30.68,29.67
88,Sep 2021,29.43,29.11,27.98,25.54
89,Oct 2021,28.81,29.2,27.48,24.17
90,Nov 2021,28.85,27.77,27.65,24.19
91,Dec 2021,28.8,28.56,27.67,24.23
