,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,Power Forwards & Futures (Data),,,,
1,Source: OTC Global Holdings,,,,
2,Region: ERCOT,,,,
3,Forward Term: Monthly,,,,
4,Peak: Off Peak,,,,
5,As Of: 05/03/2016,,,,
6,As Of : 5/3/2016,,,,
7,Term,Houston Zone,North Zone,South Zone,West Zone
8,May 2016,16.26,14.25,15.22,14.69
9,Jun 2016,16.6,15.63,15.56,15.37
10,Jul 2016,20.06,19.76,19.54,19.39
11,Aug 2016,20.71,20.44,20.24,20.09
12,Sep 2016,20.06,18.63,18.59,18.31
13,Oct 2016,18.7,17.79,17.69,16.88
14,Nov 2016,19.36,18.66,18.43,17.62
15,Dec 2016,20.14,20.56,20.26,19.57
16,Jan 2017,22.66,22.47,22.22,20.34
17,Feb 2017,22.56,22.38,22.13,20.31
18,Mar 2017,22.31,21.24,21.19,18.17
19,Apr 2017,22.24,20.82,20.76,17.97
20,May 2017,21.36,19.86,19.76,17.39
21,Jun 2017,21.61,20.09,19.99,18.25
22,Jul 2017,25.31,24.77,24.47,22.78
23,Aug 2017,24.69,24.22,23.97,22.24
24,Sep 2017,23.17,21.2,21.14,19.33
25,Oct 2017,21.03,19.37,19.26,16.83
26,Nov 2017,20.35,18.95,18.69,16.34
27,Dec 2017,19.82,19.62,19.3,17.08
28,Jan 2018,24.47,24.49,24.23,21.36
29,Feb 2018,23.98,24,23.73,21.65
30,Mar 2018,23.88,22.71,22.65,20.12
31,Apr 2018,22.12,20.76,20.71,18.45
32,May 2018,21.14,19.83,19.73,17.53
33,Jun 2018,22.08,20.59,20.48,19.38
34,Jul 2018,25.5,25.32,25.03,23.56
35,Aug 2018,25.18,25,24.85,23.27
36,Sep 2018,23.73,21.9,21.84,20.44
37,Oct 2018,21.73,20.31,20.21,17.67
38,Nov 2018,21.46,20.25,19.99,17.5
39,Dec 2018,20.4,20.42,20.11,17.84
40,Jan 2019,24.81,24.82,24.55,21.51
41,Feb 2019,24.15,24.15,23.88,21.61
42,Mar 2019,24.35,23.17,23.1,20.4
43,Apr 2019,22.59,21.33,21.28,18.84
44,May 2019,21.57,20.16,20.06,17.69
45,Jun 2019,22.35,20.96,20.84,19.68
46,Jul 2019,25.87,25.34,25.07,23.39
47,Aug 2019,26.53,25.96,25.68,24.01
48,Sep 2019,23.85,22,22.06,20.42
49,Oct 2019,22.05,20.6,20.5,17.76
50,Nov 2019,21.92,20.65,20.38,17.68
51,Dec 2019,20.88,20.85,20.53,18.09
52,Jan 2020,24.9,24.9,24.62,22.6
53,Feb 2020,24.44,24.44,24.17,22.14
54,Mar 2020,24.17,22.97,22.91,20.37
55,Apr 2020,23.35,21.99,21.94,19.62
56,May 2020,22.51,21.04,20.92,18.74
57,Jun 2020,22.08,20.76,20.66,19.3
58,Jul 2020,25.56,25.46,25.23,24.03
59,Aug 2020,26.96,26.86,26.6,25.47
60,Sep 2020,24.15,22.3,22.25,20.83
61,Oct 2020,22.74,21.2,21.08,18.65
62,Nov 2020,22.41,21.08,20.8,18.45
63,Dec 2020,21.12,21.12,20.79,18.71
64,Jan 2021,25.97,25.97,25.69,25
65,Feb 2021,24.86,24.86,24.58,23.9
66,Mar 2021,24.43,23.2,23.14,21.89
67,Apr 2021,24.05,22.62,22.57,21.43
68,May 2021,23.28,21.7,21.57,20.5
69,Jun 2021,22.71,21.33,21.22,21.09
70,Jul 2021,26.76,26.66,26.42,26.34
71,Aug 2021,27.41,27.31,27.03,27.07
72,Sep 2021,24.99,23.06,23,22.82
73,Oct 2021,23.7,22.09,21.96,20.65
74,Nov 2021,22.94,21.55,21.26,20.03
75,Dec 2021,21.57,21.57,21.22,20.37
76,Jan 2022,26.83,26.83,26.54,25.82
77,Feb 2022,25.96,25.99,25.67,24.96
78,Mar 2022,25.53,24.27,24.18,22.87
79,Apr 2022,25.26,23.79,23.71,22.51
80,May 2022,24.46,22.82,22.66,21.53
81,Jun 2022,23.84,22.41,22.28,22.15
82,Jul 2022,28.08,28.01,27.73,27.64
83,Aug 2022,28.79,28.72,28.39,28.43
84,Sep 2022,26.26,24.25,24.17,23.98
85,Oct 2022,24.93,23.26,23.1,21.72
86,Nov 2022,24.1,22.66,22.34,21.05
87,Dec 2022,22.61,22.63,22.25,21.35
88,Jan 2023,28.1,28.1,27.8,27.04
89,Feb 2023,27.19,27.22,26.88,26.14
90,Mar 2023,26.75,25.43,25.34,23.97
91,Apr 2023,26.53,24.98,24.9,23.64
