,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,Power Forwards & Futures (Data),,,,
1,Source: OTC Global Holdings,,,,
2,Region: ERCOT,,,,
3,Forward Term: Monthly,,,,
4,Peak: Off Peak,,,,
5,As Of: 01/20/2015,,,,
6,As Of : 1/20/2015,,,,
7,Term,Houston Zone,North Zone,South Zone,West Zone
8,Jan 2015,25.45,25.32,26.15,25.81
9,Feb 2015,21.87,22.19,22.41,22.11
10,Mar 2015,22.41,22.04,21.91,19.79
11,Apr 2015,24.81,22.43,24.22,21.96
12,May 2015,20.87,19.53,20.29,18.58
13,Jun 2015,21.02,20.29,20.66,19.93
14,Jul 2015,26.39,24.01,25.7,25.81
15,Aug 2015,25.87,26.89,25.19,25.3
16,Sep 2015,23.17,22.27,22.49,21.96
17,Oct 2015,22.61,21.46,21.89,20.9
18,Nov 2015,23.24,21.91,22.52,21.51
19,Dec 2015,23.63,23.37,22.96,21.95
20,Jan 2016,26.71,26.51,26.52,25.54
21,Feb 2016,26.8,26.4,26.63,25.64
22,Mar 2016,26.42,24.93,24.8,22.13
23,Apr 2016,27.06,24.56,26.42,22.64
24,May 2016,25.61,23.87,24.66,21.72
25,Jun 2016,26.52,25.33,25.71,24.07
26,Jul 2016,29,27.44,29.18,28.28
27,Aug 2016,28.79,29.16,27.4,27.99
28,Sep 2016,26.2,24.66,24.9,23.54
29,Oct 2016,25.63,24,24.44,22.1
30,Nov 2016,25.71,24.01,24.63,22.16
31,Dec 2016,25.85,25.24,24.82,22.38
32,Jan 2017,29.71,29.01,29.5,27.05
33,Feb 2017,29.76,29.07,29.58,27.1
34,Mar 2017,29.24,26.96,27.45,23.44
35,Apr 2017,29.28,26.91,28.59,23.35
36,May 2017,27.64,25.31,26.62,22.41
37,Jun 2017,28.6,23.3,27.73,25.51
38,Jul 2017,31.25,30.93,31.45,29.04
39,Aug 2017,31.04,30.89,29.54,29.04
40,Sep 2017,28.27,27.99,26.87,24.92
41,Oct 2017,27.7,27.39,26.41,23.56
42,Nov 2017,27.79,27.43,26.62,23.61
43,Dec 2017,27.78,27.54,26.67,23.72
44,Jan 2018,30.33,29.63,30.11,27.64
45,Feb 2018,30.29,29.6,30.11,27.61
46,Mar 2018,29.74,27.41,27.92,23.85
47,Apr 2018,29.44,27.05,28.75,23.5
48,May 2018,27.78,25.43,26.76,22.53
49,Jun 2018,28.7,23.39,27.82,25.62
50,Jul 2018,31.33,31.01,31.53,29.13
51,Aug 2018,31.14,30.99,29.64,29.15
52,Sep 2018,28.4,28.12,26.99,25.05
53,Oct 2018,27.81,27.49,26.52,23.66
54,Nov 2018,27.92,27.55,26.74,23.73
55,Dec 2018,27.94,27.7,26.82,23.86
56,Jan 2019,30.77,30.07,30.55,27.91
57,Feb 2019,30.71,30.01,30.52,27.86
58,Mar 2019,30.13,27.77,28.29,24.05
59,Apr 2019,29.74,27.33,29.03,23.61
60,May 2019,28.06,25.69,27.02,22.65
61,Jun 2019,28.97,23.6,28.08,25.74
62,Jul 2019,31.57,31.24,31.77,29.21
63,Aug 2019,31.41,31.25,29.89,29.26
64,Sep 2019,28.64,28.36,27.22,25.14
65,Oct 2019,28.03,27.71,26.73,23.73
66,Nov 2019,28.13,27.77,26.95,23.8
67,Dec 2019,28.15,27.91,27.02,23.92
68,Jan 2020,29.5,28.82,29.29,25.92
69,Feb 2020,29.43,28.76,29.25,25.87
70,Mar 2020,28.88,26.61,27.11,22.34
71,Apr 2020,28.56,26.24,27.88,21.98
72,May 2020,26.97,24.68,25.97,21.1
73,Jun 2020,27.82,22.67,26.97,23.96
74,Jul 2020,30.33,30.02,30.52,27.2
75,Aug 2020,30.2,30.05,28.75,27.26
76,Sep 2020,27.54,27.27,26.18,23.43
77,Oct 2020,26.96,26.65,25.71,22.12
78,Nov 2020,27.05,26.7,25.91,22.17
79,Dec 2020,27.08,26.85,26,22.31
80,Jan 2021,29.02,28.35,28.81,26.02
81,Feb 2021,28.96,28.29,28.78,25.97
82,Mar 2021,28.42,26.19,26.67,22.43
83,Apr 2021,28.07,25.8,27.41,22.04
84,May 2021,26.51,24.26,25.53,21.15
85,Jun 2021,27.37,22.3,26.53,24.04
86,Jul 2021,29.88,29.58,30.07,27.34
87,Aug 2021,29.83,29.69,28.39,27.47
88,Sep 2021,27.24,26.97,25.89,23.64
89,Oct 2021,26.73,26.43,25.49,22.38
90,Nov 2021,26.83,26.48,25.7,22.44
91,Dec 2021,26.85,26.62,25.77,22.56
