,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
0,Power Forwards & Futures (Data),,,,,,,,,,,
1,Source: OTC Global Holdings,,,,,,,,,,,
2,Region: ERCOT,,,,,,,,,,,
3,Forward Term: Monthly,,,,,,,,,,,
4,Peak: Off Peak,,,,,,,,,,,
5,As Of: 03/04/2017,,,,,,,,,,,
6,As Of : 3/3/2017,,,,,,,,,,,
7,Term,AEN,CPS,DC_E,DC_N,DC_R,Houston Zone,LCRA,North Zone,OKLA,South Zone,West Zone
8,Mar 2017,18.332,18.235,18.156,17.834,18.334,19.261,18.25,16.696,19.563,17.441,14.688
9,Apr 2017,19.217,19.129,19.027,18.829,19.098,21.836,19.135,18.87,13.152,19.497,16.557
10,May 2017,21.296,21.21,21.112,20.862,21.184,20.498,21.21,18.678,16.96,19.141,16.618
11,Jun 2017,22.027,21.946,21.857,21.565,21.934,22.426,21.926,20.52,19.161,20.54,20.061
12,Jul 2017,27.524,27.421,27.331,27.029,27.495,24.964,27.411,23.862,25.829,23.82,23.613
13,Aug 2017,28.307,28.193,28.119,27.778,28.3,27.048,28.186,25.164,25.325,25.133,25.004
14,Sep 2017,24.645,23.971,24.471,24.117,24.66,23.691,24.528,21.321,20.44,21.621,20.18
15,Oct 2017,21.643,21.614,21.464,21.106,21.678,21.117,21.527,19.001,18.112,19.388,17.121
16,Nov 2017,21.499,21.466,21.29,20.917,21.46,20.996,21.387,19.145,18.121,19.378,17.261
17,Dec 2017,22.696,22.619,22.415,22.088,22.659,20.338,22.569,19.698,19.862,19.929,18.006
18,Jan 2018,23.981,23.762,23.685,23.33,23.924,21.588,23.834,21.706,20.921,21.79,18.869
19,Feb 2018,23.689,23.482,23.429,22.989,23.63,21.202,23.545,21.541,20.633,21.422,19.324
20,Mar 2018,23.796,23.271,23.568,23.15,23.799,21.592,23.69,19.794,20.415,20.808,18.267
21,Apr 2018,20.019,19.641,19.821,19.615,19.895,20.675,19.934,19.009,16.78,19.675,17.49
22,May 2018,20.309,19.128,20.133,19.895,20.202,19.335,20.227,17.735,16.344,18.32,16.184
23,Jun 2018,20.541,19.877,20.382,20.109,20.454,21.353,20.447,19.579,18.429,20.19,19.205
24,Jul 2018,25.26,23.327,25.083,24.806,25.233,22.916,25.156,22.421,21.933,22.834,20.965
25,Aug 2018,25.845,23.913,25.674,25.363,25.839,24.173,25.735,23.712,22.524,24.224,22.231
26,Sep 2018,22.432,21.405,22.273,21.951,22.446,21.646,22.326,19.707,20.005,20.225,18.902
27,Oct 2018,19.691,18.142,19.527,19.202,19.723,19.019,19.585,17.505,16.799,17.951,15.579
28,Nov 2018,19.503,19.135,19.313,18.975,19.467,18.967,19.401,17.645,17.861,17.962,15.636
29,Dec 2018,20.667,20.44,20.412,20.114,20.634,18.359,20.552,18.167,19.228,18.467,16.307
30,Jan 2019,22.523,22.272,22.245,21.912,22.469,20.551,22.385,19.979,21.174,20.589,17.819
31,Feb 2019,22.326,22.065,22.082,21.667,22.271,20.312,22.191,19.881,21.019,20.34,18.34
32,Mar 2019,22.596,21.566,22.38,21.983,22.599,20.893,22.495,19.149,20.59,19.984,17.541
33,Apr 2019,19.494,19.304,19.301,19.1,19.373,20.482,19.411,18.887,18.494,19.427,17.248
34,May 2019,19.901,18.155,19.729,19.495,19.796,19.369,19.821,17.662,17.47,18.193,16.163
35,Jun 2019,20.163,19.026,20.007,19.74,20.078,21.184,20.071,19.595,18.57,20.008,19.053
36,Jul 2019,24.821,22.2,24.647,24.375,24.795,22.019,24.719,21.669,21.785,21.505,20.22
37,Aug 2019,25.409,23.046,25.24,24.934,25.402,23.761,25.3,23.361,22.615,23.194,22.288
38,Sep 2019,22.152,20.361,21.995,21.677,22.166,21.329,22.047,19.223,19.915,19.897,18.535
39,Oct 2019,19.497,18.521,19.335,19.013,19.528,19.024,19.392,17.324,18.098,17.819,15.569
40,Nov 2019,19.387,18.417,19.199,18.863,19.352,19.025,19.286,17.493,18.111,17.848,15.495
41,Dec 2019,20.585,19.567,20.331,20.034,20.552,18.48,20.47,18.058,19.199,18.401,16.264
42,Jan 2020,22.758,22.715,22.477,22.14,22.704,20.934,22.618,20.325,22.311,20.71,18.827
43,Feb 2020,22.456,22.423,22.21,21.793,22.4,20.698,22.32,20.229,22.018,20.479,18.621
44,Mar 2020,22.667,21.867,22.45,22.051,22.669,21.105,22.565,19.405,21.449,19.981,17.651
45,Apr 2020,19.66,19.678,19.466,19.263,19.539,20.591,19.577,18.993,19.247,19.354,17.3
46,May 2020,20.21,18.635,20.035,19.798,20.104,19.893,20.129,18.143,18.119,18.483,16.531
47,Jun 2020,20.539,19.632,20.38,20.108,20.452,21.054,20.445,19.639,19.169,19.791,18.614
48,Jul 2020,25.36,22.907,25.182,24.903,25.333,21.681,25.255,21.761,22.402,21.382,20.332
49,Aug 2020,26.101,23.879,25.928,25.613,26.095,24.169,25.99,24.143,23.349,23.834,22.844
50,Sep 2020,22.821,21.239,22.659,22.332,22.835,21.783,22.713,19.734,20.699,20.091,18.823
51,Oct 2020,20.128,19.426,19.961,19.628,20.161,19.835,20.02,18.023,18.862,18.362,16.18
52,Nov 2020,20.034,19.474,19.839,19.492,19.997,19.647,19.929,18.083,18.86,18.224,16.133
53,Dec 2020,21.288,20.66,21.025,20.718,21.253,18.868,21.169,18.495,20.023,18.585,16.722
54,Jan 2021,23.559,23.296,23.269,22.92,23.503,21.873,23.415,21.212,22.62,21.655,19.777
55,Feb 2021,23.203,23.169,22.949,22.518,23.146,21.452,23.063,21.012,22.75,21.23,19.406
56,Mar 2021,23.393,22.568,23.169,22.758,23.395,21.846,23.288,20.185,22.136,20.727,18.421
57,Apr 2021,20.241,20.259,20.041,19.832,20.116,21.224,20.155,19.624,19.815,19.981,17.958
58,May 2021,20.776,19.157,20.597,20.352,20.667,20.502,20.693,18.747,18.625,19.067,17.098
59,Jun 2021,21.06,20.129,20.897,20.617,20.971,21.619,20.963,20.2,19.654,20.358,19.199
60,Jul 2021,25.956,23.446,25.774,25.489,25.929,22.232,25.849,22.243,22.929,21.936,20.859
61,Aug 2021,26.697,24.424,26.52,26.198,26.69,24.371,26.583,24.382,23.882,24.026,23.006
62,Sep 2021,23.367,21.747,23.202,22.866,23.382,22.049,23.257,19.999,21.194,20.363,19.124
63,Oct 2021,20.611,19.892,20.44,20.099,20.644,20.392,20.5,18.554,19.314,18.925,16.701
64,Nov 2021,20.544,19.97,20.345,19.989,20.507,19.972,20.437,18.444,19.34,18.554,16.387
65,Dec 2021,21.854,21.209,21.584,21.269,21.819,19.233,21.732,18.886,20.555,18.95,17.051
66,Jan 2022,23.717,23.452,23.425,23.074,23.661,21.982,23.572,21.348,22.771,21.764,21.121
67,Feb 2022,23.351,23.317,23.096,22.662,23.293,21.614,23.21,21.168,22.896,21.393,20.784
68,Mar 2022,23.527,22.697,23.301,22.888,23.529,21.984,23.421,20.326,22.263,20.865,19.751
69,Apr 2022,20.355,20.374,20.154,19.944,20.229,21.412,20.268,19.727,19.927,20.116,19.124
70,May 2022,20.909,19.279,20.728,20.482,20.799,20.588,20.825,18.895,18.744,19.195,18.286
71,Jun 2022,21.21,20.272,21.046,20.764,21.12,21.765,21.113,20.346,19.794,20.503,20.418
72,Jul 2022,26.16,23.63,25.976,25.689,26.132,22.515,26.052,22.481,23.109,22.206,22.232
73,Aug 2022,26.935,24.642,26.756,26.432,26.929,24.339,26.82,24.381,24.095,24.008,24.025
74,Sep 2022,23.576,21.941,23.409,23.07,23.59,22.245,23.464,20.185,21.383,20.555,20.403
75,Oct 2022,20.794,20.068,20.621,20.278,20.828,20.58,20.682,18.731,19.486,19.109,17.98
76,Nov 2022,20.762,20.182,20.56,20.2,20.724,20.198,20.654,18.661,19.545,18.775,17.725
77,Dec 2022,22.11,21.458,21.837,21.518,22.074,19.578,21.987,19.164,20.796,19.294,18.526
78,Jan 2023,23.989,23.721,23.694,23.338,23.932,22.234,23.842,21.593,23.032,22.013,21.363
79,Feb 2023,23.615,23.58,23.356,22.917,23.556,21.858,23.471,21.407,23.154,21.634,21.019
80,Mar 2023,23.798,22.958,23.57,23.152,23.8,22.237,23.691,20.56,22.519,21.105,19.979
81,Apr 2023,20.619,20.638,20.415,20.203,20.492,21.69,20.531,19.983,20.185,20.377,19.372
82,May 2023,21.173,19.523,20.99,20.741,21.062,20.848,21.088,19.134,18.981,19.438,18.517
83,Jun 2023,21.475,20.526,21.309,21.024,21.384,22.037,21.377,20.601,20.041,20.76,20.674
84,Jul 2023,26.483,23.922,26.298,26.007,26.455,22.794,26.375,22.759,23.394,22.48,22.507
85,Aug 2023,27.265,24.943,27.084,26.755,27.258,24.636,27.148,24.679,24.39,24.302,24.319
86,Sep 2023,23.864,22.209,23.695,23.352,23.878,22.517,23.751,20.432,21.644,20.806,20.653
87,Oct 2023,21.068,20.332,20.893,20.544,21.102,20.851,20.954,18.977,19.742,19.36,18.216
88,Nov 2023,21.028,20.44,20.824,20.459,20.99,20.457,20.919,18.9,19.795,19.016,17.952
89,Dec 2023,22.38,21.719,22.103,21.781,22.344,19.817,22.255,19.398,21.05,19.529,18.752
90,Jan 2024,24.269,23.998,23.97,23.61,24.211,22.494,24.12,21.845,23.301,22.27,21.612
91,Feb 2024,23.87,23.835,23.609,23.166,23.811,22.095,23.726,21.639,23.404,21.869,21.246
92,Mar 2024,24.045,23.197,23.815,23.392,24.048,22.468,23.938,20.774,22.754,21.325,20.187
93,Apr 2024,20.807,20.826,20.602,20.387,20.679,21.888,20.719,20.165,20.37,20.563,19.549
94,May 2024,21.375,19.709,21.19,20.939,21.263,21.047,21.289,19.317,19.162,19.623,18.694
95,Jun 2024,21.717,20.757,21.549,21.261,21.625,22.285,21.617,20.833,20.267,20.994,20.907
96,Jul 2024,26.883,24.283,26.694,26.399,26.854,23.138,26.772,23.102,23.747,22.819,22.846
97,Aug 2024,27.75,25.387,27.565,27.231,27.743,25.075,27.631,25.118,24.823,24.734,24.752
98,Sep 2024,24.338,22.651,24.166,23.817,24.353,22.965,24.223,20.838,22.074,21.22,21.063
99,Oct 2024,21.593,20.839,21.413,21.056,21.628,21.37,21.476,19.45,20.234,19.843,18.67
100,Nov 2024,21.539,20.937,21.33,20.956,21.5,20.954,21.427,19.359,20.276,19.478,18.388
101,Dec 2024,22.898,22.222,22.614,22.285,22.86,20.275,22.77,19.847,21.537,19.981,19.186
102,Jan 2025,24.805,24.528,24.5,24.132,24.746,22.991,24.653,22.327,23.816,22.762,22.09
103,Feb 2025,24.367,24.331,24.1,23.647,24.306,22.554,24.219,22.089,23.891,22.323,21.688
104,Mar 2025,24.517,23.653,24.283,23.852,24.52,22.909,24.408,21.182,23.2,21.743,20.583
105,Apr 2025,21.131,21.151,20.923,20.705,21.001,22.229,21.042,20.479,20.687,20.883,19.853
106,May 2025,21.71,20.017,21.522,21.267,21.595,21.376,21.622,19.619,19.462,19.93,18.986
107,Jun 2025,22.053,21.078,21.882,21.589,21.959,22.629,21.951,21.155,20.58,21.318,21.23
108,Jul 2025,27.282,24.644,27.091,26.792,27.254,23.482,27.17,23.446,24.1,23.158,23.186
109,Aug 2025,28.176,25.777,27.989,27.65,28.169,25.46,28.056,25.504,25.205,25.114,25.132
110,Sep 2025,24.728,23.013,24.553,24.198,24.743,23.332,24.611,21.172,22.428,21.559,21.4
111,Oct 2025,21.962,21.196,21.78,21.417,21.998,21.736,21.844,19.783,20.58,20.182,18.99
112,Nov 2025,21.927,21.314,21.714,21.334,21.887,21.332,21.813,19.708,20.642,19.829,18.72
113,Dec 2025,23.313,22.625,23.025,22.689,23.275,20.643,23.183,20.207,21.928,20.343,19.534
114,Jan 2026,25.258,24.976,24.947,24.573,25.198,23.409,25.104,22.736,24.251,23.178,22.493
115,Feb 2026,24.818,24.781,24.546,24.085,24.756,22.97,24.667,22.498,24.334,22.737,22.09
116,Mar 2026,24.982,24.101,24.742,24.303,24.984,23.338,24.87,21.576,23.64,22.155,20.966
117,Apr 2026,21.584,21.604,21.371,21.148,21.451,22.705,21.492,20.918,21.13,21.33,20.278
118,May 2026,22.137,20.411,21.946,21.685,22.021,21.797,22.048,20.005,19.845,20.323,19.36
119,Jun 2026,22.497,21.503,22.324,22.025,22.402,23.086,22.394,21.582,20.995,21.748,21.658
120,Jul 2026,27.853,25.16,27.658,27.352,27.824,23.973,27.739,23.936,24.604,23.643,23.671
121,Aug 2026,28.777,26.327,28.586,28.24,28.77,26.003,28.654,26.048,25.743,25.65,25.668
122,Sep 2026,25.27,23.518,25.091,24.728,25.286,23.844,25.15,21.636,22.92,22.032,21.87
123,Oct 2026,22.458,21.674,22.271,21.9,22.494,22.226,22.336,20.229,21.044,20.637,19.418
124,Nov 2026,22.467,21.839,22.249,21.859,22.426,21.857,22.35,20.193,21.15,20.317,19.18
125,Dec 2026,23.896,23.191,23.601,23.257,23.858,21.159,23.763,20.712,22.476,20.852,20.015
126,Jan 2027,25.88,25.595,25.561,25.178,25.818,23.954,25.722,23.272,24.852,23.729,23.033
127,Feb 2027,25.437,25.403,25.158,24.685,25.373,23.504,25.282,23.035,24.944,23.285,22.623
