,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,Power Forwards & Futures (Data),,,,
1,Source: OTC Global Holdings,,,,
2,Region: ERCOT,,,,
3,Forward Term: Monthly,,,,
4,Peak: Off Peak,,,,
5,As Of: 10/08/2015,,,,
6,As Of : 10/8/2015,,,,
7,Term,Houston Zone,North Zone,South Zone,West Zone
8,Oct 2015,21.43,20.34,20.5,19.99
9,Nov 2015,20.35,19.4,18.39,17.85
10,Dec 2015,20.58,20.29,19.87,18.82
11,Jan 2016,22.75,23,23.01,22
12,Feb 2016,22.94,22.98,23.22,22.19
13,Mar 2016,22.94,21.85,21.7,18.88
14,Apr 2016,23.49,21.34,23.3,19.34
15,May 2016,22.09,20.72,21.55,18.49
16,Jun 2016,23.67,22.63,23.04,21.27
17,Jul 2016,26.32,25.07,26.94,25.95
18,Aug 2016,24.83,25.67,23.79,24.38
19,Sep 2016,23.58,22.18,22.44,20.97
20,Oct 2016,23.17,21.64,22.12,19.61
21,Nov 2016,23.39,21.79,22.46,19.82
22,Dec 2016,22.39,22.2,21.77,19.29
23,Jan 2017,25.03,24.68,24.73,23.3
24,Feb 2017,24.99,24.71,24.51,23.32
25,Mar 2017,26.05,23.06,24.09,20.04
26,Apr 2017,25.36,22.64,23.2,19.61
27,May 2017,23.42,21.22,22.18,18.87
28,Jun 2017,25.77,20.03,24.78,23.09
29,Jul 2017,27.13,27.16,26.52,25.12
30,Aug 2017,27.33,27.25,26.47,25.23
31,Sep 2017,25.76,24.64,23.78,21.69
32,Oct 2017,25.36,23.92,23.6,20.54
33,Nov 2017,25.54,24.04,23.38,20.66
34,Dec 2017,24.38,23.4,23.79,20.16
35,Jan 2018,26.18,25.88,25.86,23.76
36,Feb 2018,26.07,25.86,25.57,23.72
37,Mar 2018,27.2,24.15,25.15,20.4
38,Apr 2018,25.73,23.03,23.53,19.4
39,May 2018,23.76,21.6,22.5,18.67
40,Jun 2018,26.11,20.36,25.1,22.83
41,Jul 2018,27.46,27.25,26.84,24.79
42,Aug 2018,27.65,27.29,26.78,24.9
43,Sep 2018,26.06,24.77,24.05,21.4
44,Oct 2018,25.63,24.26,23.86,20.25
45,Nov 2018,25.85,24.4,23.66,20.39
46,Dec 2018,24.66,23.74,24.07,19.89
47,Jan 2019,26.48,26.17,26.16,23.29
48,Feb 2019,26.37,26.16,25.86,23.25
49,Mar 2019,27.52,24.44,25.45,20.01
50,Apr 2019,26.33,23.57,24.08,19.26
51,May 2019,24.37,22.16,23.08,18.55
52,Jun 2019,26.77,20.86,25.74,22.68
53,Jul 2019,28.14,27.93,27.51,24.63
54,Aug 2019,28.34,27.97,27.45,24.73
55,Sep 2019,26.71,25.39,24.65,24.83
56,Oct 2019,26.27,24.86,24.45,20.11
57,Nov 2019,26.49,25.01,24.24,20.24
58,Dec 2019,25.37,24.42,24.76,19.83
59,Jan 2020,26.58,26.27,26.26,23.54
60,Feb 2020,26.46,26.25,25.96,23.48
61,Mar 2020,27.64,24.55,25.56,20.23
62,Apr 2020,26.62,23.83,24.34,19.59
63,May 2020,24.65,22.41,23.34,18.89
64,Jun 2020,27.03,21.07,25.99,23.05
65,Jul 2020,28.36,28.13,27.72,24.96
66,Aug 2020,28.63,28.26,27.73,25.14
67,Sep 2020,27.01,25.67,24.93,25.27
68,Oct 2020,26.6,25.18,24.76,20.5
69,Nov 2020,26.8,25.31,24.53,20.61
70,Dec 2020,25.64,24.69,25.02,20.18
71,Jan 2021,26.26,25.96,25.95,22.39
72,Feb 2021,26.15,25.95,25.65,22.35
73,Mar 2021,27.34,24.28,25.28,19.26
74,Apr 2021,26.45,23.68,24.19,18.74
75,May 2021,24.47,22.24,23.17,18.06
76,Jun 2021,26.84,20.93,25.81,22.04
77,Jul 2021,28.21,27.99,27.58,23.93
78,Aug 2021,28.53,28.16,27.63,24.12
79,Sep 2021,26.95,25.61,24.87,24.28
80,Oct 2021,26.57,25.15,24.73,19.71
81,Nov 2021,26.74,25.24,24.47,19.81
82,Dec 2021,25.52,24.57,24.9,19.33
83,Jan 2022,27.43,25.9,27.09,22.8
84,Feb 2022,27.3,25.88,26.78,22.75
85,Mar 2022,28.55,24.23,26.4,19.61
86,Apr 2022,27.7,23.7,25.34,19.15
87,May 2022,25.61,22.25,24.26,18.42
88,Jun 2022,28.07,20.91,26.98,22.48
89,Jul 2022,29.48,27.97,28.82,24.38
90,Aug 2022,29.82,28.13,28.88,24.59
91,Sep 2022,28.21,25.63,26.04,21.2
